student_id,achievement_score,achievement_problem_solving,achievement_self_learning,achievement_process_clarity,adaptation_score,adaptation_accepts_difficulty,adaptation_persistence,adaptation_strategy_variety,relationship_score,relationship_collaboration,relationship_conflict_handling,relationship_help_exchange,label
STU001,4,4,4,4,5,5,4,5,5,5,5,5,0
STU002,3,3,3,3,4,3,3,5,3,3,4,3,0
STU003,5,5,5,4,4,3,3,3,3,2,4,4,0
STU004,5,4,5,5,3,3,4,2,3,4,3,3,0
STU005,5,5,5,5,3,4,2,3,5,5,4,5,0
STU006,5,4,4,5,4,4,5,5,3,2,2,2,0
STU007,3,4,2,3,3,4,3,3,4,3,4,5,0
STU008,3,3,4,2,5,5,5,5,3,2,3,2,0
STU009,5,5,4,5,5,5,5,5,3,2,3,2,0
STU010,4,5,5,4,3,4,3,2,3,4,3,4,0
STU011,3,4,2,3,5,5,5,5,5,5,4,5,0
STU012,3,3,3,4,4,5,3,4,4,5,3,4,0
STU013,4,3,5,3,3,2,3,2,5,5,4,4,0
STU014,3,3,3,4,4,3,5,4,3,3,2,3,0
STU015,4,3,4,4,5,5,5,4,5,5,4,4,0
STU016,4,3,3,3,3,3,3,2,5,5,5,5,0
STU017,3,3,4,2,5,4,5,5,4,3,5,4,0
STU018,3,2,3,4,4,3,5,3,3,2,3,4,0
STU019,5,5,5,5,3,4,3,2,3,3,4,3,0
STU020,3,3,2,2,3,4,3,3,5,4,5,5,0
STU021,4,3,3,3,5,5,5,4,3,3,4,3,0
STU022,4,5,5,4,3,4,3,2,5,4,4,5,0
STU023,5,5,5,5,3,2,2,2,5,4,5,5,0
STU024,3,2,2,4,5,5,5,5,3,3,3,4,0
STU025,5,5,5,5,5,5,5,4,5,5,4,5,0
STU026,3,3,4,3,5,4,4,5,4,3,5,4,0
STU027,3,4,3,2,4,4,4,4,3,2,3,3,0
STU028,5,5,4,5,4,4,4,4,4,4,5,3,0
STU029,5,5,4,5,4,4,4,4,5,4,5,4,0
STU030,3,4,3,3,4,3,5,4,4,4,3,4,0
STU031,3,4,4,3,3,2,4,3,3,3,4,4,0
STU032,3,3,2,4,4,3,4,4,4,4,3,5,0
STU033,3,3,3,3,3,2,4,2,3,2,2,4,0
STU034,4,5,5,4,3,2,3,2,3,2,2,2,0
